username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Ayu,setahun lalu,Lumayan tapi ramennya agak kurang,lumayan ramennya,-1,Negatif
Christian Kundalasari,setahun lalu,"Terbiasa makan seafood yang fresh kebetulan punya alergi untuk yang kurang fresh. Sayangnya, saya dapat alergi pas makan sushi di sushi tei yang tidak pernah saya dapatkan di sushi tei, Jakarta. …",biasa makan seafood fresh alergi fresh sayang alergi pas makan sushi sushi tei dapat sushi tei jakarta,-9,Negatif
Ayu Kumala Sari,setahun lalu,Suasana bagus dan nyaman. Layanannya juga baik dan cepat. Tetapi entah kenapa rasanya sudah berubah sejak beberapa tahun lalu. Yakiniku-nya alot dan bumbumnya juga kureng. Salmon belly-nya juga kurang fresh dan lalapannya ada yang pahit. Terus untuk kaitenzushi-nya enak seperti biasanya.,suasana bagus nyaman layan cepat ubah yakin nya alot bumbumnya reng salmon belly nya fresh lalap pahit kaitenzushi nya enak,6,Positif
Diana Rahardjo,setahun lalu,"Restoran jepang dengan menu yg bercita rasa otentik japanesse, penggemar sushi dan ramen wajib kesini, tempat nya sangat nyaman Terimakasih Sushi Tei 🙏👍 …",restoran jepang menu yg cita otentik japanesse gemar sushi ramen wajib kesini nya nyaman terimakasih sushi tei,10,Positif
Anggraini Chandra,setahun lalu,"Sushi kesukaan anak2 😍,apalg kazan sushi the best …",sushi suka anak apalg kazan sushi the best,-1,Negatif
Ardhian Rizqi,setahun lalu,Sushi Tei pada umumnya siii. Sama kayak di jabodetabek,sushi tei siii kayak jabodetabek,-3,Negatif
Yanti Priskila,setahun lalu,"Kasih terminal kabel dong d luar, buat ojol",kasih terminal kabel d ojol,-2,Negatif
Muamar Masduki,setahun lalu,Makanan nya menurut saya biasa aja dan ga enak ga suka aja kuahnya terlalu asin y dan rasanya ga enak,makan nya aja ga enak ga suka aja kuah asin y ga enak,6,Positif
cecep budi utomo,setahun lalu,Tempatnya asyik,tempat asyik,-3,Negatif
What ThePug,setahun lalu,"Telpon mau reservasi, yg angkat ga niat nadanya. Minta reservasi katanya gausah soalnya masih banyak tempat dan buka dua lantai, pas dateng waiting list urutan ke 7. Pas di tempat juga pelayanannya ga jelas, antri buat pasang nama di …",telpon reservasi yg angkat ga niat nada reservasi gausah buka lantai pas dateng waiting list urut pas layan ga antri pasang nama,11,Positif
Adrien Adjie,setahun lalu,Oke,oke,2,Positif
Deny Rifai,setahun lalu,"Tempatnya asyik, luas dan adem. Parkiran mobilnya yang sedikit. Makanannya enak.",tempat asyik luas adem parkir mobil makan enak,3,Positif
Praptika Mitha,setahun lalu,saya suka makan malam bersama keluarga disini karena tempatnya sangat nyaman,suka makan malam keluarga tempat nyaman,3,Positif
atlantis dropshipper,setahun lalu,"Setelah memesan, menunggu 30mnt lebih. Dan ditanya lagi ""bapaknya mau take away?"", Padahal pesanan saya sudah ada dikasir sejak beberapa menit. Hadehhh 👎 …",mes tunggu mnt bapak take away pesan kasir menit hadehhh,-2,Negatif
Dedy Kurniawan,setahun lalu,Yg pengen merasakan sensasi makanan jepang silahksn datang..,yg ken rasa sensasi makan jepang silahksn,-6,Negatif
Fitri Maryana,setahun lalu,Mak nyusss,mak nyusss,0,Netral
Nurhidayati Sanwan,setahun lalu,"Makanan enak, pelayanan bagus, lingkungan bersih.",makan enak layan bagus lingkung bersih,-1,Negatif
Reza,setahun lalu,"Overall masih sangat menikmati makan di sini, hanya saja kemarin sempat tanya ke staff baru jadi masih sempat bingung. But very recommended",overall nikmat makan kemarin staff bingung but very recommended,3,Positif
Andri Wallad,setahun lalu,Akses keluar masuk jangan hanya di satu titik akses utk dari dalam keluar menuju patio juga dan ada pintu kecil juga utk keluar,akses masuk titik akses utk patio pintu utk,-2,Negatif
Doni Putra,setahun lalu,"Selalu asyik datang bersama keluarga untuk menikmati sushi di restoran ini, makanannya uenak....dan variasi menunya sangat lengkap...",asyik keluarga nikmat sushi restoran makan uenak variasi menu lengkap,-1,Negatif
Arifah Septiawati,setahun lalu,tempat yang bagus untuk makan makanan Jepang,bagus makan makan jepang,-2,Negatif
Wasito,setahun lalu,Secara Kualitas tidak berubah dari tahun ke tahun,kualitas ubah,4,Positif
dewi amara,setahun lalu,"Bersih, bagus dan enak. Pelayanannya bagus",bersih bagus enak layan bagus,-3,Negatif
Heru Djatmika,setahun lalu,"Tempat nyaman, masakan top markotop, pelayanan ok banget",nyaman masakan top markotop layan ok banget,15,Positif
adrian herdianto,setahun lalu,Sayangnya nunngunya lama,sayang nunngunya,0,Netral
ghofar hann,setahun lalu,"Tempatnya sangat okay, tempat yang bagus buat ketemu kolega",tempat okay bagus ketemu kolega,0,Netral
Didyy Syhp,setahun lalu,Terbaik,baik,2,Positif
Maria Widarti,setahun lalu,"Rasa, suasana, pelayanan...sebanding dengan harganya.",suasana layan banding harga,7,Positif
hafidh kusuma,setahun lalu,Sushi terbaik di jogja,sushi baik jogja,2,Positif
ariawan wibisono,setahun lalu,Sudah ada label halal,label halal,0,Netral
David Setiawan,setahun lalu,"Mantap..
Pelayanan cepat, walaupun nunggu antri 10 menit.. makanan tiba 15 menit..
Area smooking room ada. …",mantap layan cepat nunggu antri menit makan menit area smooking room,6,Positif
Ashari Aries,setahun lalu,Overall rasa makanan dan suasananya oke. Dapat gratis Shushi birthday cake karna pas banget di minggu ulang tahun. Tapi gatau knp lebih suka Sushi Hiro. Sekali lagi ini bukan endors. Ini review jujur.,overall makan suasana oke gratis shushi birthday cake karna pas banget minggu ulang gatau knp suka sushi hiro endors review jujur,20,Positif
Poppy Soeherman,setahun lalu,MakananNya dengan bahan baku yang fresh👍 …,makan bahan baku fresh,-7,Negatif
Yusak Yudanto,setahun lalu,"Mungkin sushi terbaik di jogja, tapi juga termahal",sushi baik jogja mahal,3,Positif
Salsabiela Aurelia,setahun lalu,Pelayanannya oke bgt karena semua pegawainya ramah-ramah banget dan satset wkwkw. Oiya sushinya enak juga👍🏻 …,layan oke bgt pegawai ramah ramah banget satset wkwkw oiya sushinya enak,9,Positif
Cindy Yenita Iskandar,setahun lalu,"Pelayanan buruk, udh bayar service charge percuma, saya sudah pesan take away dari jam 10 pagi, sudah bilang untuk jam 13.00 sampai 30 menit kemudian belum jadi juga pesanannya sepertinya belum dibuatkan, saya sudah transfer, pelayan yg …",layan buruk udh bayar service charge pesan take away jam pagi bilang jam menit pesan buat transfer layan yg,-10,Negatif
Wino Bagus Tri Wicaksono,setahun lalu,Sushi standar 🍣 …,sushi standar,-2,Negatif
Kakah Resnadi,setahun lalu,Lezat ----- luar biasa,lezat,5,Positif
Prasodo Datu Prabandaru,setahun lalu,"Pengalaman makan yang luar biasa di sini. Tempat parkir nyaman dan luas. Saat masuk, karena kami membawa keluarga dan anak kecil, petugas dengan sigap membantu dalam membuka pintu dan pemesanan tempat. Waktu antrian tidak lama. Tempat …",alam makan parkir nyaman luas masuk bawa keluarga anak tugas sigap bantu buka pintu mesan antri,1,Positif
Hafizh Izzuddin,setahun lalu,Enak sekali~ 🤤🤤🤤 …,enak,1,Positif
Chusdian Bataragan,setahun lalu,"Waiters tidak ramah. Cuka idako tidak segar, malah bikin mual dan hilang selera makan. Lain kalo kalo emang tidak layak ya jangan dihidangkan. Payah👎 …",waiters ramah cuka idako segar bikin mual hilang selera makan kalo kalo emang layak ya hidang payah,7,Positif
Ignatius Ery Kurniawan,setahun lalu,"Makanan, layanan dan suasana makannya enak. Rekomen buat penyuka sushi.",makan layan suasana makan enak rekomen suka sushi,7,Positif
Nova Chrono,setahun lalu,"Admin sosmed antikritik. Pecat saja, ganti yang baru👎 …",admin sosmed antikritik pecat ganti,-5,Negatif
Rizal Malik,setahun lalu,"Makanan enak, suasana nyaman, agak mahal untuk Jogja.",makan enak suasana nyaman mahal jogja,10,Positif
Rheni TriPujiastuti,setahun lalu,"Sekali dalam sebulan kita harus makan di sini. Soalnya kalau tiap hari pasti bakal bikin ""kanker""...
Namun harganya sepadan, terutama bagi pecinta makanan berbahan dasar ikan. Sashimi-nya adalah yang terbaik.",bulan makan bikin kanker harga padan cinta makan bahan dasar ikan sashimi nya baik,3,Positif
Hans,setahun lalu,Sushi enak seperti biasa.,sushi enak,1,Positif
Desi Mutiara Putri,setahun lalu,Masih jadi tempat sushi favorit 💜💜💜 …,sushi favorit,0,Netral
nindyas,setahun lalu,"saya milih di lantai 2, tempatnya nyamaann. saya pesen yang di rekomendasiin dalam menu, tapi setelah saya coba rasanya kuranggg:(
saya dapet birthday sushi jugaaa, dan servicenya mantap.",milih lantai tempat nyamaann sen rekomendasiin menu coba kuranggg dapet birthday sushi jugaaa servicenya mantap,7,Positif
Alvins,setahun lalu,"Tempatnyaa bagus apalagi lantai 2 nya bisa buat yang suka sendirian, bersiih juga. Pelayanannya okke bangett dan superrr ramaahhh🙌🏻✨ …",tempatnyaa bagus lantai nya suka bersiih layan okke bangett superrr ramaahhh,0,Netral
Yoana Riris,setahun lalu,"Enak ...cocok di lidah....tidak eneg.... pelayanan nya cepat.... suasana nyaman
.....",enak cocok lidah eneg layan nya cepat suasana nyaman,10,Positif
Rijadh Winardi,setahun lalu,Restoran dengan banyak variasi menu. Rasa mungkin tidak otentik benar tapi cocok di lidah yang awam makanan Jepang. Range harga yang lebar dari 19.000 sampai 500.000 membuat cocok untuk semua budget. Menu harga bawah ok menurut saya. Menu …,restoran variasi menu otentik cocok lidah awam makan jepang range harga lebar cocok budget menu harga ok menu,11,Positif
Arrio Reno,setahun lalu,Selalu puas makan di sana,puas makan,3,Positif
Maharani,setahun lalu,"Gaada yg ga enak, enak semuaaa. Porsinya lumayan besar, untuk salad bisa 2-3 orang",gaada yg ga enak enak semuaaa porsi lumayan salad orang,2,Positif
ade lia,setahun lalu,"Manteeeeeppp enak bangettt, buat harga menurutku lumayan, tergantung pesennya yang apa.. tapi dengan harga segitu worth it banget sih 😊 …",manteeeeeppp enak bangettt harga turut lumayan gantung sen harga segitu worth it banget sih,-4,Negatif
Lidwina Arin,setahun lalu,"Gerai Sushi Tei yang berdiri sendiri, bukan di dalam mall. Satu-satunya Sushi Tei di Yogyakarta. Layanan mereka dan makanannya selalu luar biasa!",gerai sushi tei diri mall satu sushi tei yogyakarta layan makan,1,Positif
Suminto T,setahun lalu,"Saya dan keluarga saya biasanya pergi ke sushi tei di Jakarta atau Surabaya dan itu enak.
Tapi sejujurnya, sushi tei di sini tidak seperti yang kami harapkan. …",keluarga pergi sushi tei jakarta surabaya enak jujur sushi tei harap,3,Positif
Ita Jati,setahun lalu,"Hidangan mayan lama, lebih diperhatikan permintaan customer, tisue basah hanya ada 2, kami datang ber 7,minta tambahan tisue sampai pulang tidak diberikan",hidang mayan perhati minta customer tisue basah ber tambah tisue pulang,4,Positif
Tegar Andito,setahun lalu,"Harganya mahal, tapi layak untuk dibelanjakan",harga mahal layak belanja,1,Positif
Ernawati R,setahun lalu,"Tempat yang bagus untuk makan sushi.
Dari segi harga agak mahal tapi sushi mereka juga enak. Selain sushi, mereka juga menyajikan masakan Jepang lainnya seperti mie, tempura, dan lain-lain. Makanan …",bagus makan sushi segi harga mahal sushi enak sushi saji masakan jepang mie tempura makan,6,Positif
Th. Dubousquet,setahun lalu,Kualitas masih bagus tapi harga sudah melambung tinggi... sayang sekali...,kualitas bagus harga lambung sayang,7,Positif
Rudi Firdaus,setahun lalu,Bagus,bagus,-2,Negatif
Ijal,setahun lalu,"Sushi tei disini paling fresh sashimi nya daripada store surabaya. Tempat luas, nyaman, pelayanan baik.",sushi tei fresh sashimi nya store surabaya luas nyaman layan,5,Positif
Edi Prast,setahun lalu,"Tempat sangat-sangat strategis. Sayangnya tempat parkir tuk mobil terbatas. 5 mobil sudah penuh. Securitynya ramah, baik. Tentang makanan , banyak orang mengatakan enak. Cocok. Ee, maklum lidah jawa, ga bisa bilang enak.. wkkkkk. Ngga cocok …",strategis sayang parkir tuk mobil batas mobil penuh securitynya ramah makan orang enak cocok ee maklum lidah jawa ga bilang enak wkkkkk ngga cocok,5,Positif
Hendri,setahun lalu,"Makanan lama datangnya/dan jeda waktu lama antar makanan sehingga makannya tidak bs berbarengan, dan dingin/kurang panas terutama salmon belly soup, gyoza nya pucat paci kayak pocong sehingga minta dimasak ulang, salmon teriyaki ju tdk cukup saos teriyaki, minta tambah saos teriyaki malah disodorin kecak asin! Parah!",makan datang jeda makan makan bs bareng dingin panas salmon belly soup gyoza nya pucat paci kayak pocong masak ulang salmon teriyaki ju tdk saos teriyaki saos teriyaki disodorin kecak asin parah,-11,Negatif
Digit Kumara,setahun lalu,"3 lantai dan tidak tergabung oleh Mall..tempatnya luas, makanan standart sushi tei di ibukota",lantai gabung mall tempat luas makan standart sushi tei ibukota,-5,Negatif
NomNom Hore,setahun lalu,sushi terenak di jogja masih dipegang sushi tei,sushi enak jogja pegang sushi tei,-1,Negatif
Annisa Rianti,setahun lalu,satu-satunya sushi tei yang saya tahu yang menyediakan area merokok 😂 …,satu sushi tei sedia area rokok,1,Positif
Asty K,setahun lalu,"Nasi Sushi sedikit berbeda dibandingkan dengan Sushi Tei di kota lain. Saya membeli Sushi gulung Unagi. Belutnya oke, ukurannya lebih besar tapi nasinya berbeda. Sup Kepala Salmonnya enak seperti Sushi Tei biasa, tetapi layanannya terlalu lambat ketika sedang ramai.",nasi sushi beda banding sushi tei kota beli sushi gulung unagi belut oke ukur nasi beda sup kepala salmon enak sushi tei layan lambat ramai,3,Positif
Bondan Ramadhan,setahun lalu,Porsi ramennya gede banget bisa buat sharing,porsi ramennya gede banget sharing,6,Positif
Ikhsan Septian,setahun lalu,"pertama kali makan di sushi tei jogja, jd tau kenapa waiting list nya lama, karna beres makan mejanya ga lgsg di bersihin, piring kotor dimeja kosong dibiarin numpuk, saya nunggu 30 menit untuk waiting list yg cuma 3 org, untuk cooking …",kali makan sushi tei jogja jd tau waiting list nya karna beres makan meja ga lgsg bersihin piring kotor meja kosong dibiarin numpuk nunggu menit waiting list yg org cooking,-15,Negatif
Amalina Farahiya,setahun lalu,salah satu sushi terbaik di kota!,salah sushi baik kota,-3,Negatif
Yuwono Bangun Nagoro,setahun lalu,"Kami memesan sushi dan ramen, dan itu sangat lezat! Layanan luar biasa dan suasana yang menyenangkan untuk bersantap.",mes sushi ramen lezat layan suasana senang santap,10,Positif
adyatma ramadhan,setahun lalu,Irasshaimase!,irasshaimase,0,Netral
Bambang eko Eko,setahun lalu,Salah satu spot sushi di Jogja..let the name and the star talk..,salah spot sushi jogja let the name and the star talk,-4,Negatif
Agung Maraya,setahun lalu,Makanannya segar- segar,makan segar segar,8,Positif
Sigit Subiyantoro,setahun lalu,Dulu ada museum  3 dimensi,museum dimensi,0,Netral
stefanus prayogo,setahun lalu,"Salah satu resto sushi di jogja, kualitas ikannya fresh banget dan servicenya bagus banget.
Standarnya sama di kota lainnya.",salah resto sushi jogja kualitas ikan fresh banget servicenya bagus banget standar kota,-9,Negatif
Joko wahyono,setahun lalu,"Layanan sangat prima.
081391063114",layan prima,4,Positif
Chris Whiteway,setahun lalu,Makanan luar biasa seperti biasa. Staf memberi Anda perhatian mereka dan memberikan layanan yang baik. Makanannya terasa segar dan luar biasa (Chicken Karaage adalah favorit saya). Kami biasanya menunggu tempat duduk paling depan karena …,makan staf perhati layan makan segar chicken karaage favorit tunggu duduk,3,Positif
Imam Santoso,setahun lalu,Benar-benar sushi terbaik di kota,sushi baik kota,1,Positif
deta,setahun lalu,terbaik pokoknya 👍👍👍👍👍👍🫶🫶🫶 …,baik pokok,2,Positif
Ardah Mahadasari,setahun lalu,"Ke Sushi Tei pas ulang tahun, tinggal tanyain birthday sushi dan tunjukin KTP, lalu dapet birthday sushinya, enak bangeet, pegawainya juga ramah, kompak nyanyiin lagu selamat ulang tahun dan ngucapinnya juga! Pelayanannya top banget, sushinya juga enak-enak, tempatnya juga nyaman",sushi tei pas ulang tinggal tanyain birthday sushi tunjukin ktp dapet birthday sushinya enak bangeet pegawai ramah kompak nyanyiin lagu selamat ulang ngucapinnya layan top banget sushinya enak enak tempat nyaman,31,Positif
Lala Aulaa D.,setahun lalu,"Makanan nya enak, tempat nya cakep, suasana nya oke, harga nya oke lah
Ke sini perkara mau dapet free sushi karena abis ultah, bisa dicoba dateng h+-7 tunjukin ktp aja",makan nya enak nya cakep suasana nya oke harga nya oke perkara dapet free sushi abis ultah coba dateng h tunjukin ktp aja,18,Positif
Shinta Amily,setahun lalu,Terbaik💓💓💓💓💓💓💓💓💓💓 …,baik,2,Positif
aryan morita,setahun lalu,Agak mahal tapi rasanya luar biasa,mahal,1,Positif
Felic Ryota,setahun lalu,Semuanya enak porsinya besar auto kenyang,enak porsi auto kenyang,8,Positif
orange triswanto,setahun lalu,"Sushitei never wrong, enak semua menunya, ga diragukan lagi klo ini sih",sushitei never wrong enak menu ga ragu klo sih,-2,Negatif
Laela Musdawati,setahun lalu,Terbaik!!,baik,2,Positif
Nungki Adi Nugroho,setahun lalu,ada harga ada rupa.,harga rupa,6,Positif
Wind Breaker,setahun lalu,"Satu satunya Sushi yang ada di Jogja, tidak buka cabang dimanapun, buat rasanya enak, harga standar",satu sushi jogja buka cabang mana enak harga standar,4,Positif
Taufik Danadidjaja,setahun lalu,Selalu menjadi tempat favorit saya untuk menikmati makanan Jepang...,favorit nikmat makan jepang,3,Positif
Prila Arizki,setahun lalu,"Tempatnya enak, sashimi nya enak, Servicenya juga sangat ramah.",tempat enak sashimi nya enak servicenya ramah,1,Positif
Futya Rakhmani,setahun lalu,Tempat yang bagus banget untuk memberi hadiah pada diri sendiri 💖 temenku dikasih kejutan sm pegawai Sushitei. Terima kasih banyak. Kami akan kembali untuk makan sushi dan sashimi lainnya 💖 …,bagus banget hadiah temenku kasih kejut sm pegawai sushitei terima kasih makan sushi sashimi,5,Positif
Alfons Tefa,setahun lalu,Makanan yang enak. Parkir Terbatas,makan enak parkir batas,-1,Negatif
Adhitya Eka Pria W,setahun lalu,"Duh.. Duh.....

Kalo rasa nggak usah ditanya ya... Confirm dengan sepenuh hati memberikan …",duh duh kalo nggak ya confirm sepenuh hati,-3,Negatif
Felicia Wenny Wicaksono,setahun lalu,"Siapa tak kenal resto Sushi Tei
Macam dan ragamnya sekarang cukup banyak
Kami sering makan Sushi Tei di kota Yogya …",kenal resto sushi tei ragam makan sushi tei kota yogya,-4,Negatif
Bunga,setahun lalu,Pelayanan buruk ketika antrian panjang terutama ketika mereka menawarkan diskon. Kalau soal salmon.. itu yang terbaik!,layan buruk antri tawar diskon salmon baik,-5,Negatif
Kai,setahun lalu,irashaimaseeee🇯ppa⛩️🎌🍙🍣🍜⛩️🔥🔥🔥 …,irashaimaseeee ppa,0,Netral
Nur Ariefin Addinpujoartanto,setahun lalu,Jangan ditanya. Enak ini,enak,1,Positif
Aris Sapmantarko,setahun lalu,"Sip,enak, nyaman",sip enak nyaman,5,Positif
Shabrina Qurrota A'yun,setahun lalu,"Sushi nya enak enaak!
Ambience nya juga tenang dan nyaman meskipun di pinggir jalan yang rame, sevice baik, ramah …",sushi nya enak enaak ambience nya tenang nyaman pinggir jalan rame sevice ramah,7,Positif
sukma nur oktavia,setahun lalu,Enak semua,enak,1,Positif
Anita Hersanti,setahun lalu,Sushi nya sih oke...tp pesen ramen  pas makan di sini lamaaa nungunya mana kuahnya sdh dingin lagi pas keluar... kasihan mbk/ mas waitress tak tanya terus.,sushi nya sih oke tp sen ramen pas makan lamaaa nungunya kuah sdh dingin pas kasihan mbk mas waitress,11,Positif
Dhany Ayu,setahun lalu,restoran untuk penggemar sushi dan makanan Jepang. makanan lezat dan pelayanan yang baik.,restoran gemar sushi makan jepang makan lezat layan,5,Positif
SITI Budi Riyanti,setahun lalu,Enak nyaman tampilan kekinian,enak nyaman tampil kini,6,Positif
Nashwa Cute,setahun lalu,"sushi ter enak di jogja ini mah
tempat nya nyaman harganya mahal tapi sebanding c dengan rasanya",sushi ter enak jogja mah nya nyaman harga mahal banding c,9,Positif
Penikmat Kuliner,setahun lalu,"Standar pelayanan yang baik maksimal 15 menit, sampai satu jam menunggu makanan sudah hilang selera. Sorry.",standar layan maksimal menit jam tunggu makan hilang selera sorry,-2,Negatif
Golden Label,setahun lalu,"Finally bisa ngerasain birthday cakenya sushi tei 😁😁😁
Udah beberapa tahun nahan diri buat ngga klaim disini karna ndak pede 😅
Seneng rasanya disini, sushinya juara. Sediain budget lebih kalau kesini, ga bakal kerasa habis brp karna enak semua …",finally ngerasain birthday cakenya sushi tei udah nahan ngga klaim karna ndak pede neng sushinya juara ain budget kesini ga rasa habis brp karna enak,-7,Negatif
agung budi,setahun lalu,Pelayanannya bagus banget.. 5 jempol utk sushi tei,layan bagus banget jempol utk sushi tei,1,Positif
Indah Lesthari Larasati,setahun lalu,"pelayaman mantap, tempatnya cantik, yg pasti enak sushinya",layam mantap tempat cantik yg enak sushinya,1,Positif
Kurnia Tejaningrum,setahun lalu,"Rasa dan pelayanannya sangat patut untuk di pertahankan 😍
Nb : ketemu sama captain rikko lagi, selalu ramah dan energic …",layan patut tahan nb ketemu captain rikko ramah energic,-1,Negatif
Retno Dewi Pramodia,setahun lalu,Ingin merasakan sensasi makanan Jepang??? Sushi tei pilihan tepat,rasa sensasi makan jepang sushi tei pilih,-9,Negatif
lydya Arf,setahun lalu,Enak tempatnya nyaman pelayananya bagus,enak tempat nyaman pelayananya bagus,0,Netral
heru deni,setahun lalu,Sushi terbaik di kota...👍👍 …,sushi baik kota,1,Positif
Toples Kacang,setahun lalu,Tempat nya nyaman,nya nyaman,4,Positif
Maharani Kusumawardani,setahun lalu,"Selalu puas makan di Sushi Tei karena rasanya tidak perlu diragukan, semuanya fresh. Pelayanannya perfect, termasuk tukang parkirnya yang ramah & sangat membantu. Pertahankan 😍 …",puas makan sushi tei ragu fresh layan perfect tukang parkir ramah bantu tahan,-3,Negatif
Tyo Kurniawan,setahun lalu,Resto Jepang yang enak dan enak,resto jepang enak enak,2,Positif
martantyo adi kurniawan,setahun lalu,Makanannya enak,makan enak,1,Positif
karin pinta,setahun lalu,"Pelayanan nya baik, tempatnya bersih dan nyaman kali ini aku nyoba sushi dan takoyakinya enak.  Ak jga pesen tamagoyaki yg ktnya di medsos enak, tpi pas ak coba enggak cocok dilidah ak karna menurut ak manis bgt. Desertnya yg varian macha enak pahit manis gt. Overall yg lain oke👍🏻 …",layan nya tempat bersih nyaman kali nyoba sushi takoyakinya enak ak jga sen tamagoyaki yg ktnya medsos enak tpi pas ak coba cocok lidah ak karna ak manis bgt desertnya yg varian macha enak pahit manis gt overall yg oke,13,Positif
Gusri Anef,setahun lalu,sangat mengesankan. elegant.,kesan elegant,0,Netral
Rafif Zahran Haryadi,setahun lalu,"sushi yang terkenal se Indonesia,dan untuk makanan dan pelayanan tidak kecewa sama sekali,penyajiannya sangat cantik dan rasa yang unik tiap sajian sushi,tidak kalah saing dengan menu kuah seperti ramen dan udonnya,tapi sangat …",sushi kenal indonesia makan layan kecewa saji cantik unik saji sushi kalah saing menu kuah ramen udonnya,3,Positif
Kelvin R,setahun lalu,Tempat yang bagus,bagus,-2,Negatif
Ardjie Mandey,setahun lalu,Sushi terbaik di kota..,sushi baik kota,1,Positif
Momster,setahun lalu,Yang layak,layak,-2,Negatif
Intan Rahayu,setahun lalu,"suka banget si kalo mkan disini pelayananya super duper ramah Dari tukang parkir sampe di servis, suasanya juga nyaman + tentrem bener2 vibe nya Tenang, untuk makananya enak ga bakal nyesel kalo disini",suka banget si kalo mkan pelayananya super duper ramah tukang parkir sampe servis suasa nyaman tentrem bener vibe nya tenang makananya enak ga nyesel kalo,12,Positif
Alaric Evans,setahun lalu,OKE. Oke saja,oke oke,4,Positif
chistina candra,setahun lalu,Lot parkir kecil jadi harus putar ke samping gedung  buat yg pakai wheelchair agak repot,lot parkir putar samping gedung yg pakai wheelchair repot,-13,Negatif
Rere Safina,setahun lalu,"Beda ya... Service memuaskan... Pesanan enaak
Suasana pengunjung rame pun tapi tetap menyenangkan
Dari parkir hingga pelayanan di dalam semua ramah …",beda ya service muas pesan enaak suasana unjung rame senang parkir layan ramah,14,Positif
indarti drg,setahun lalu,Waww dpt early birthday surprise dari tim sushi tei. Kl menu sih tdk dpt diragukan lg,waww dpt early birthday surprise tim sushi tei kl menu sih tdk dpt ragu lg,-3,Negatif
Windi Yudanto,setahun lalu,Sushi Tei Yogyakarta,sushi tei yogyakarta,0,Netral
Mely Lengkong,setahun lalu,Pilihannya banyak dan rasanya konsisten,pilih konsisten,-2,Negatif
forx2001,setahun lalu,"Tempatnya enak, cocok buat meet. Sekeluarga atau acara kantor.",tempat enak cocok meet keluarga acara kantor,0,Netral
Dave Kawengian,setahun lalu,Makanan enak dan suasana menyenangkan...,makan enak suasana senang,6,Positif
Rifki Furqan,setahun lalu,"Pelayanan cepat, sigap dan ramah. Parkir motor bisa masuk ke dalam portal",layan cepat sigap ramah parkir motor masuk portal,1,Positif
erlangga911,setahun lalu,Best sushi in town. Sushinya bener2 fresh. Ada harga ada kualitas sihh. 大好き!,best sushi in town sushinya bener fresh harga kualitas sihh ,5,Positif
Fani Salamah,setahun lalu,"kalo soal rasa ngga perlu diragukan lagi ya, jelas enak banget! pelayanannya juga top banget, pegawainya ramah semua",kalo ngga ragu ya enak banget layan top banget pegawai ramah,8,Positif
Aurariarahmiadhani,setahun lalu,"First time, makan disini.. First time juga ☺",first time makan first time,0,Netral
Baiquni Rachmansyah,setahun lalu,Salah satu restoran Sushi terkenal di Indonesia.  Terkadang ada promo all you can eat yang patut banget dicoba.,salah restoran sushi kenal indonesia terkadang promo all you can eat patut banget coba,-4,Negatif
Nurul Kusmanto,setahun lalu,Segar dan higienis,segar higienis,4,Positif
In Tan,setahun lalu,"Tempat nyaman
Makanan enak
Pelayanan oke",nyaman makan enak layan oke,7,Positif
Pascal Wyss,setahun lalu,"Tempat sushi yang sangat bagus, staf sangat ramah",sushi bagus staf ramah,0,Netral
Axel Nugroho,setahun lalu,"Tempat yang bagus untuk makan sushi, nongkrong, makan malam, mentraktir orang.",bagus makan sushi nongkrong makan malam traktir orang,-3,Negatif
Dhea Octaviona,setahun lalu,"menunya variatif bgt sampe bingung mau milih yg mana sangking banyaknya, pelayanannya juga oke, satpamnya ramah pwoll. harganya memang termasuk mehong tp sesuai sama kualitasnya. recommend sih ini",menu variatif bgt sampe bingung milih yg sangking banyak layan oke satpam ramah pwoll harga mehong tp sesuai kualitas recommend sih,12,Positif
dewi mubarok,setahun lalu,"Selalu kembali kesini,mau ke sushi manapun ujung2nya balik lagi kesini,terfavorit,enak semuanya,enak syekale",kesini sushi mana ujung kesini favorit enak enak syekale,-1,Negatif
Gita Novelia,setahun lalu,"selalu puas sama semua yg ada di sushi tei,sevicenya,makanannya,platting,semuanya ❤❤",puas yg sushi tei sevicenya makan platting,3,Positif
indra furwanda,setahun lalu,Yummyrr,yummyrr,0,Netral
Indah Ones,setahun lalu,Selalu suka sama Salmon belly soup nya,suka salmon belly soup nya,2,Positif
ega norista,setahun lalu,Mantab lah. Sushi dgn porsi nasi banyak 🤭 …,mantab sushi dgn porsi nasi,6,Positif
Irfan Muhammad,setahun lalu,Baru tau salmon skin disini ga ada saus kecap nya hehe,tau salmon skin ga saus kecap nya hehe,-8,Negatif
Fairly Fairial,setahun lalu,"NO WORDS NEEDED! BEST SUSHI IN TOWN!✨👏🏼. Belum nemu duel yang cocok buat Sushi Tei di Jogja. In my opinion, Sushi Tei paling juara di Jogja. Freshly made, semuanya ok. Segi taste, platting dan ambience nya juga super OK. Apalagi di sini …",no words needed best sushi in town nemu duel cocok sushi tei jogja in my opinion sushi tei juara jogja freshly made ok segi taste platting ambience nya super ok,0,Netral
Kholiq YK,setahun lalu,Rekomen bagett,rekomen bagett,0,Netral
