username,tanggal_ulasan,komentar
Rizaldi Hediyanto,setahun lalu,
Sareko 78,setahun lalu,
Andi Anggara Putra H (Angga),setahun lalu,
Ferdina Maharani,setahun lalu,Suka dan rasakan semuanya
suryono rafa,setahun lalu,
Aas Gussusanto,setahun lalu,
Tsaqif Abrooriansyah,setahun lalu,
AFS AFS,setahun lalu,
Catur Hendra,setahun lalu,
Sofyan Thohari,setahun lalu,
Raymond Christian,setahun lalu,
Eko Yulianto,setahun lalu,
HKR 217,setahun lalu,"Sushi Tei di Jogja adalah surganya pecinta sushi, menawarkan sashimi dan nigiri yang luar biasa dengan pengalaman sushi conveyor belt yang langka. Komitmen restoran terhadap kualitas terlihat jelas dalam wasabi mereka yang lezat, dan …"
Abdullah Arif,setahun lalu,Sushi Tei menurutku adalah pengalaman yang paling berkesan makan sushi karena rasanya itu benar-benar enak dan jangan lupa kalau makan sushi kalian harus juga mengiringinya dengan memakan irisan jahe yang ada di meja
emi windrayani,setahun lalu,"Sepadan dengan harganya! Suka sekali. Pasti akan kembali lagi, terutama saat ulang tahun untuk mendapatkan kue sushi gratis."
Luc Ramanantsoa,setahun lalu,
else sari,setahun lalu,Semua makanan adalah yang terbaik. Begitu juga suasana dan getarannya. Kami menyukainya
Imam Mishbach,setahun lalu,
Rudy Dewanto,setahun lalu,
Juni Antara,setahun lalu,
Harry Lesmana,setahun lalu,Cucok rasanya❤️
Edmund Kim,setahun lalu,Bagus
Any Nugroho,setahun lalu,Apakah yang terbaik
Shaifudin Zuhdi,setahun lalu,
endah wahyu,setahun lalu,Sashimi salsa saladnya enak banget.. salmon mentayaki mengecil tapi tetep enak..
Wahyu Aditya Nugraha,setahun lalu,
Chandra Chandra,setahun lalu,"green tea nya bikin ketagihan...
salmon nya sangat lembut..."
Rakha Yodha,setahun lalu,
ACM SH,setahun lalu,
Nada Annata,setahun lalu,Sushi ulang tahunnya enak sekali 🥹✨ …
Desy Indriana,setahun lalu,
Ocha Adilla,setahun lalu,
Diah Ningsih,setahun lalu,Ramen karinya enak bgt bisa untuk 2-3 orang
Om Ji'Run,setahun lalu,Ada harga ada harga kualitas
Lepito_,setahun lalu,
Dhayu Murti,setahun lalu,
Dr Kealy,setahun lalu,"Pilihan bagus untuk sushi berkualitas di Yogyakarta.
Kami memesan berbagai hidangan sushi & sashimi. Saya kecewa karena beberapa pilihan saya tidak tersedia dan meskipun semuanya sangat enak, saya berharap menjadi …"
M. Daus,setahun lalu,
Novia Violetta,setahun lalu,
Lusy Rahmawati,setahun lalu,"Pelayanan disini bagus bgt sih, ramah ramah bgt, 😍 terus makanannya enak2 semua, pokoknya kalo ke sushi tei wajib bgt sih pesen Teriyaki beef rool, dijamin kalian ga bakal nyesel, karna enak poll ❤️ …"
Ayu,setahun lalu,Lumayan tapi ramennya agak kurang
Christian Kundalasari,setahun lalu,"Terbiasa makan seafood yang fresh kebetulan punya alergi untuk yang kurang fresh. Sayangnya, saya dapat alergi pas makan sushi di sushi tei yang tidak pernah saya dapatkan di sushi tei, Jakarta. …"
C. Andini (Mami.KiKa),setahun lalu,
Ayu Kumala Sari,setahun lalu,Suasana bagus dan nyaman. Layanannya juga baik dan cepat. Tetapi entah kenapa rasanya sudah berubah sejak beberapa tahun lalu. Yakiniku-nya alot dan bumbumnya juga kureng. Salmon belly-nya juga kurang fresh dan lalapannya ada yang pahit. Terus untuk kaitenzushi-nya enak seperti biasanya.
phatta 17,setahun lalu,
Diana Rahardjo,setahun lalu,"Restoran jepang dengan menu yg bercita rasa otentik japanesse, penggemar sushi dan ramen wajib kesini, tempat nya sangat nyaman Terimakasih Sushi Tei 🙏👍 …"
Anggraini Chandra,setahun lalu,"Sushi kesukaan anak2 😍,apalg kazan sushi the best …"
Ardhian Rizqi,setahun lalu,Sushi Tei pada umumnya siii. Sama kayak di jabodetabek
Yanti Priskila,setahun lalu,"Kasih terminal kabel dong d luar, buat ojol"
Muamar Masduki,setahun lalu,Makanan nya menurut saya biasa aja dan ga enak ga suka aja kuahnya terlalu asin y dan rasanya ga enak
Qotrunnada Rahma,setahun lalu,
Rachme NR,setahun lalu,
Helena Widyawati,setahun lalu,
cecep budi utomo,setahun lalu,Tempatnya asyik
What ThePug,setahun lalu,"Telpon mau reservasi, yg angkat ga niat nadanya. Minta reservasi katanya gausah soalnya masih banyak tempat dan buka dua lantai, pas dateng waiting list urutan ke 7. Pas di tempat juga pelayanannya ga jelas, antri buat pasang nama di …"
manuela liberta,setahun lalu,
Adrien Adjie,setahun lalu,Oke
Sutap Hartono,setahun lalu,
Deny Rifai,setahun lalu,"Tempatnya asyik, luas dan adem. Parkiran mobilnya yang sedikit. Makanannya enak."
Praptika Mitha,setahun lalu,saya suka makan malam bersama keluarga disini karena tempatnya sangat nyaman
enfitrianes law,setahun lalu,
Alfonsus Dimas Djati Widyawan,setahun lalu,
atlantis dropshipper,setahun lalu,"Setelah memesan, menunggu 30mnt lebih. Dan ditanya lagi ""bapaknya mau take away?"", Padahal pesanan saya sudah ada dikasir sejak beberapa menit. Hadehhh 👎 …"
Dedy Kurniawan,setahun lalu,Yg pengen merasakan sensasi makanan jepang silahksn datang..
Nafa FM,setahun lalu,
Ariyanto Indrawan,setahun lalu,
Fitri Maryana,setahun lalu,Mak nyusss
Nurhidayati Sanwan,setahun lalu,"Makanan enak, pelayanan bagus, lingkungan bersih."
Reza,setahun lalu,"Overall masih sangat menikmati makan di sini, hanya saja kemarin sempat tanya ke staff baru jadi masih sempat bingung. But very recommended"
Daru Wibowo,setahun lalu,
Andri Wallad,setahun lalu,Akses keluar masuk jangan hanya di satu titik akses utk dari dalam keluar menuju patio juga dan ada pintu kecil juga utk keluar
Doni Putra,setahun lalu,"Selalu asyik datang bersama keluarga untuk menikmati sushi di restoran ini, makanannya uenak....dan variasi menunya sangat lengkap..."
t ross,setahun lalu,
Arifah Septiawati,setahun lalu,tempat yang bagus untuk makan makanan Jepang
Wasito,setahun lalu,Secara Kualitas tidak berubah dari tahun ke tahun
dewi amara,setahun lalu,"Bersih, bagus dan enak. Pelayanannya bagus"
Heru Djatmika,setahun lalu,"Tempat nyaman, masakan top markotop, pelayanan ok banget"
Erik Hermawan,setahun lalu,
adrian herdianto,setahun lalu,Sayangnya nunngunya lama
aulia sigit,setahun lalu,
Yoga Utama Gusnandar,setahun lalu,
ghofar hann,setahun lalu,"Tempatnya sangat okay, tempat yang bagus buat ketemu kolega"
Aufa Damayanti,setahun lalu,
Romi PS,setahun lalu,
Xiao Fei marvell A,setahun lalu,
Didyy Syhp,setahun lalu,Terbaik
Dody Satria,setahun lalu,
Echa Septiliani,setahun lalu,
Maria Widarti,setahun lalu,"Rasa, suasana, pelayanan...sebanding dengan harganya."
hafidh kusuma,setahun lalu,Sushi terbaik di jogja
ariawan wibisono,setahun lalu,Sudah ada label halal
David Setiawan,setahun lalu,"Mantap..
Pelayanan cepat, walaupun nunggu antri 10 menit.. makanan tiba 15 menit..
Area smooking room ada. …"
Ashari Aries,setahun lalu,Overall rasa makanan dan suasananya oke. Dapat gratis Shushi birthday cake karna pas banget di minggu ulang tahun. Tapi gatau knp lebih suka Sushi Hiro. Sekali lagi ini bukan endors. Ini review jujur.
Poppy Soeherman,setahun lalu,MakananNya dengan bahan baku yang fresh👍 …
Yusak Yudanto,setahun lalu,"Mungkin sushi terbaik di jogja, tapi juga termahal"
Salsabiela Aurelia,setahun lalu,Pelayanannya oke bgt karena semua pegawainya ramah-ramah banget dan satset wkwkw. Oiya sushinya enak juga👍🏻 …
Cindy Yenita Iskandar,setahun lalu,"Pelayanan buruk, udh bayar service charge percuma, saya sudah pesan take away dari jam 10 pagi, sudah bilang untuk jam 13.00 sampai 30 menit kemudian belum jadi juga pesanannya sepertinya belum dibuatkan, saya sudah transfer, pelayan yg …"
Dian,setahun lalu,
Khita Grisella,setahun lalu,
ADITYA PRIANGGA,setahun lalu,
Mas Mujib,setahun lalu,
Wino Bagus Tri Wicaksono,setahun lalu,Sushi standar 🍣 …
Megadini Sakuntala Putri,setahun lalu,
Kakah Resnadi,setahun lalu,Lezat ----- luar biasa
Kelana Kedai,setahun lalu,
Prasodo Datu Prabandaru,setahun lalu,"Pengalaman makan yang luar biasa di sini. Tempat parkir nyaman dan luas. Saat masuk, karena kami membawa keluarga dan anak kecil, petugas dengan sigap membantu dalam membuka pintu dan pemesanan tempat. Waktu antrian tidak lama. Tempat …"
Agata Anuncia Putri,setahun lalu,
Hafizh Izzuddin,setahun lalu,Enak sekali~ 🤤🤤🤤 …
Chusdian Bataragan,setahun lalu,"Waiters tidak ramah. Cuka idako tidak segar, malah bikin mual dan hilang selera makan. Lain kalo kalo emang tidak layak ya jangan dihidangkan. Payah👎 …"
Ignatius Ery Kurniawan,setahun lalu,"Makanan, layanan dan suasana makannya enak. Rekomen buat penyuka sushi."
Edo Zhang,setahun lalu,
Nova Chrono,setahun lalu,"Admin sosmed antikritik. Pecat saja, ganti yang baru👎 …"
Rizal Malik,setahun lalu,"Makanan enak, suasana nyaman, agak mahal untuk Jogja."
Rheni TriPujiastuti,setahun lalu,"Sekali dalam sebulan kita harus makan di sini. Soalnya kalau tiap hari pasti bakal bikin ""kanker""...
Namun harganya sepadan, terutama bagi pecinta makanan berbahan dasar ikan. Sashimi-nya adalah yang terbaik."
Hans,setahun lalu,Sushi enak seperti biasa.
Desi Mutiara Putri,setahun lalu,Masih jadi tempat sushi favorit 💜💜💜 …
nindyas,setahun lalu,"saya milih di lantai 2, tempatnya nyamaann. saya pesen yang di rekomendasiin dalam menu, tapi setelah saya coba rasanya kuranggg:(
saya dapet birthday sushi jugaaa, dan servicenya mantap."
Alvins,setahun lalu,"Tempatnyaa bagus apalagi lantai 2 nya bisa buat yang suka sendirian, bersiih juga. Pelayanannya okke bangett dan superrr ramaahhh🙌🏻✨ …"
Lisa Melinda,setahun lalu,
Yoana Riris,setahun lalu,"Enak ...cocok di lidah....tidak eneg.... pelayanan nya cepat.... suasana nyaman
....."
Rijadh Winardi,setahun lalu,Restoran dengan banyak variasi menu. Rasa mungkin tidak otentik benar tapi cocok di lidah yang awam makanan Jepang. Range harga yang lebar dari 19.000 sampai 500.000 membuat cocok untuk semua budget. Menu harga bawah ok menurut saya. Menu …
Arrio Reno,setahun lalu,Selalu puas makan di sana
Tan Tie,setahun lalu,
Maharani,setahun lalu,"Gaada yg ga enak, enak semuaaa. Porsinya lumayan besar, untuk salad bisa 2-3 orang"
pramudita ulul azmi,setahun lalu,
ade lia,setahun lalu,"Manteeeeeppp enak bangettt, buat harga menurutku lumayan, tergantung pesennya yang apa.. tapi dengan harga segitu worth it banget sih 😊 …"
Agatha Pertiwi,setahun lalu,
Lidwina Arin,setahun lalu,"Gerai Sushi Tei yang berdiri sendiri, bukan di dalam mall. Satu-satunya Sushi Tei di Yogyakarta. Layanan mereka dan makanannya selalu luar biasa!"
Suminto T,setahun lalu,"Saya dan keluarga saya biasanya pergi ke sushi tei di Jakarta atau Surabaya dan itu enak.
Tapi sejujurnya, sushi tei di sini tidak seperti yang kami harapkan. …"
dany hargyana,setahun lalu,
dody pramono,setahun lalu,
Ita Jati,setahun lalu,"Hidangan mayan lama, lebih diperhatikan permintaan customer, tisue basah hanya ada 2, kami datang ber 7,minta tambahan tisue sampai pulang tidak diberikan"
Yusuf Raksawardana,setahun lalu,
Tegar Andito,setahun lalu,"Harganya mahal, tapi layak untuk dibelanjakan"
Ernawati R,setahun lalu,"Tempat yang bagus untuk makan sushi.
Dari segi harga agak mahal tapi sushi mereka juga enak. Selain sushi, mereka juga menyajikan masakan Jepang lainnya seperti mie, tempura, dan lain-lain. Makanan …"
Th. Dubousquet,setahun lalu,Kualitas masih bagus tapi harga sudah melambung tinggi... sayang sekali...
Rudi Firdaus,setahun lalu,Bagus
Ijal,setahun lalu,"Sushi tei disini paling fresh sashimi nya daripada store surabaya. Tempat luas, nyaman, pelayanan baik."
Ghifari Fitrah Mustajab,setahun lalu,
Edi Prast,setahun lalu,"Tempat sangat-sangat strategis. Sayangnya tempat parkir tuk mobil terbatas. 5 mobil sudah penuh. Securitynya ramah, baik. Tentang makanan , banyak orang mengatakan enak. Cocok. Ee, maklum lidah jawa, ga bisa bilang enak.. wkkkkk. Ngga cocok …"
Hendri,setahun lalu,"Makanan lama datangnya/dan jeda waktu lama antar makanan sehingga makannya tidak bs berbarengan, dan dingin/kurang panas terutama salmon belly soup, gyoza nya pucat paci kayak pocong sehingga minta dimasak ulang, salmon teriyaki ju tdk cukup saos teriyaki, minta tambah saos teriyaki malah disodorin kecak asin! Parah!"
Abhista Fawwaz,setahun lalu,
Digit Kumara,setahun lalu,"3 lantai dan tidak tergabung oleh Mall..tempatnya luas, makanan standart sushi tei di ibukota"
NomNom Hore,setahun lalu,sushi terenak di jogja masih dipegang sushi tei
Annisa Rianti,setahun lalu,satu-satunya sushi tei yang saya tahu yang menyediakan area merokok 😂 …
Asty K,setahun lalu,"Nasi Sushi sedikit berbeda dibandingkan dengan Sushi Tei di kota lain. Saya membeli Sushi gulung Unagi. Belutnya oke, ukurannya lebih besar tapi nasinya berbeda. Sup Kepala Salmonnya enak seperti Sushi Tei biasa, tetapi layanannya terlalu lambat ketika sedang ramai."
isidora prilla susanty,setahun lalu,
Roro Alya,setahun lalu,
Estera Ariesstephania,setahun lalu,
Siswanto Antok,setahun lalu,
Henny Atiek,setahun lalu,
Tan P,setahun lalu,
Joan Simorangkir,setahun lalu,
Pandya Erlambang,setahun lalu,
angga andrian,setahun lalu,
Bondan Ramadhan,setahun lalu,Porsi ramennya gede banget bisa buat sharing
Ikhsan Septian,setahun lalu,"pertama kali makan di sushi tei jogja, jd tau kenapa waiting list nya lama, karna beres makan mejanya ga lgsg di bersihin, piring kotor dimeja kosong dibiarin numpuk, saya nunggu 30 menit untuk waiting list yg cuma 3 org, untuk cooking …"
Christian Tjan,setahun lalu,
Fredy,setahun lalu,
rizqi surya,setahun lalu,
Amalina Farahiya,setahun lalu,salah satu sushi terbaik di kota!
Okky Rasyid,setahun lalu,
Yuwono Bangun Nagoro,setahun lalu,"Kami memesan sushi dan ramen, dan itu sangat lezat! Layanan luar biasa dan suasana yang menyenangkan untuk bersantap."
adyatma ramadhan,setahun lalu,Irasshaimase!
gprjcts,setahun lalu,
Jpit Jpit,setahun lalu,
Bambang eko Eko,setahun lalu,Salah satu spot sushi di Jogja..let the name and the star talk..
Agung Maraya,setahun lalu,Makanannya segar- segar
subki rifai,setahun lalu,
Flynn Ace,setahun lalu,
Zulvian Andrew,setahun lalu,
Sigit Subiyantoro,setahun lalu,Dulu ada museum  3 dimensi
stefanus prayogo,setahun lalu,"Salah satu resto sushi di jogja, kualitas ikannya fresh banget dan servicenya bagus banget.
Standarnya sama di kota lainnya."
Joko wahyono,setahun lalu,"Layanan sangat prima.
081391063114"
Chris Whiteway,setahun lalu,Makanan luar biasa seperti biasa. Staf memberi Anda perhatian mereka dan memberikan layanan yang baik. Makanannya terasa segar dan luar biasa (Chicken Karaage adalah favorit saya). Kami biasanya menunggu tempat duduk paling depan karena …
Imam Santoso,setahun lalu,Benar-benar sushi terbaik di kota
Zona Nyaman Refleksi Banjarmasin,setahun lalu,
deta,setahun lalu,terbaik pokoknya 👍👍👍👍👍👍🫶🫶🫶 …
Amadeus Rembrandt,setahun lalu,
Huwaida N. Salsabila,setahun lalu,
Siti Baroroh,setahun lalu,
Ardah Mahadasari,setahun lalu,"Ke Sushi Tei pas ulang tahun, tinggal tanyain birthday sushi dan tunjukin KTP, lalu dapet birthday sushinya, enak bangeet, pegawainya juga ramah, kompak nyanyiin lagu selamat ulang tahun dan ngucapinnya juga! Pelayanannya top banget, sushinya juga enak-enak, tempatnya juga nyaman"
Muhammad Iqbal Rizqi,setahun lalu,
Lala Aulaa D.,setahun lalu,"Makanan nya enak, tempat nya cakep, suasana nya oke, harga nya oke lah
Ke sini perkara mau dapet free sushi karena abis ultah, bisa dicoba dateng h+-7 tunjukin ktp aja"
Shinta Amily,setahun lalu,Terbaik💓💓💓💓💓💓💓💓💓💓 …
Aurelia Elvina,setahun lalu,
aryan morita,setahun lalu,Agak mahal tapi rasanya luar biasa
Felic Ryota,setahun lalu,Semuanya enak porsinya besar auto kenyang
orange triswanto,setahun lalu,"Sushitei never wrong, enak semua menunya, ga diragukan lagi klo ini sih"
Laela Musdawati,setahun lalu,Terbaik!!
Nungki Adi Nugroho,setahun lalu,ada harga ada rupa.
Wind Breaker,setahun lalu,"Satu satunya Sushi yang ada di Jogja, tidak buka cabang dimanapun, buat rasanya enak, harga standar"
Taufik Danadidjaja,setahun lalu,Selalu menjadi tempat favorit saya untuk menikmati makanan Jepang...
Dimas Radit Prasetya,setahun lalu,
Riswey Margo,setahun lalu,
SOLID REALTY,setahun lalu,
fachrudin din,setahun lalu,
Prila Arizki,setahun lalu,"Tempatnya enak, sashimi nya enak, Servicenya juga sangat ramah."
Jogja Suryo,setahun lalu,
Futya Rakhmani,setahun lalu,Tempat yang bagus banget untuk memberi hadiah pada diri sendiri 💖 temenku dikasih kejutan sm pegawai Sushitei. Terima kasih banyak. Kami akan kembali untuk makan sushi dan sashimi lainnya 💖 …
Alfons Tefa,setahun lalu,Makanan yang enak. Parkir Terbatas
Adhitya Eka Pria W,setahun lalu,"Duh.. Duh.....

Kalo rasa nggak usah ditanya ya... Confirm dengan sepenuh hati memberikan …"
Felicia Wenny Wicaksono,setahun lalu,"Siapa tak kenal resto Sushi Tei
Macam dan ragamnya sekarang cukup banyak
Kami sering makan Sushi Tei di kota Yogya …"
hari yono,setahun lalu,
Bunga,setahun lalu,Pelayanan buruk ketika antrian panjang terutama ketika mereka menawarkan diskon. Kalau soal salmon.. itu yang terbaik!
destiathree,setahun lalu,
Kai,setahun lalu,irashaimaseeee🇯ppa⛩️🎌🍙🍣🍜⛩️🔥🔥🔥 …
Destri Anggina,setahun lalu,
cbt speedshop,setahun lalu,
Nur Ariefin Addinpujoartanto,setahun lalu,Jangan ditanya. Enak ini
Aris Sapmantarko,setahun lalu,"Sip,enak, nyaman"
Shabrina Qurrota A'yun,setahun lalu,"Sushi nya enak enaak!
Ambience nya juga tenang dan nyaman meskipun di pinggir jalan yang rame, sevice baik, ramah …"
sukma nur oktavia,setahun lalu,Enak semua
Anita Hersanti,setahun lalu,Sushi nya sih oke...tp pesen ramen  pas makan di sini lamaaa nungunya mana kuahnya sdh dingin lagi pas keluar... kasihan mbk/ mas waitress tak tanya terus.
Albertus Guntur,setahun lalu,
Sandy Van Java,setahun lalu,
Chinta Imbran,setahun lalu,
Dhany Ayu,setahun lalu,restoran untuk penggemar sushi dan makanan Jepang. makanan lezat dan pelayanan yang baik.
gregorius andy,setahun lalu,
Aviana citra kholifah,setahun lalu,
Sentot Kristanto,setahun lalu,
SITI Budi Riyanti,setahun lalu,Enak nyaman tampilan kekinian
Nashwa Cute,setahun lalu,"sushi ter enak di jogja ini mah
tempat nya nyaman harganya mahal tapi sebanding c dengan rasanya"
Penikmat Kuliner,setahun lalu,"Standar pelayanan yang baik maksimal 15 menit, sampai satu jam menunggu makanan sudah hilang selera. Sorry."
Xabieru Bali,setahun lalu,
Yudistira Dimas Prasetyo,setahun lalu,
Isna Lisadewi,setahun lalu,
Golden Label,setahun lalu,"Finally bisa ngerasain birthday cakenya sushi tei 😁😁😁
Udah beberapa tahun nahan diri buat ngga klaim disini karna ndak pede 😅
Seneng rasanya disini, sushinya juara. Sediain budget lebih kalau kesini, ga bakal kerasa habis brp karna enak semua …"
agung budi,setahun lalu,Pelayanannya bagus banget.. 5 jempol utk sushi tei
Indah Lesthari Larasati,setahun lalu,"pelayaman mantap, tempatnya cantik, yg pasti enak sushinya"
Kurnia Tejaningrum,setahun lalu,"Rasa dan pelayanannya sangat patut untuk di pertahankan 😍
Nb : ketemu sama captain rikko lagi, selalu ramah dan energic …"
Retno Dewi Pramodia,setahun lalu,Ingin merasakan sensasi makanan Jepang??? Sushi tei pilihan tepat
lydya Arf,setahun lalu,Enak tempatnya nyaman pelayananya bagus
prita hapsari damayanti,setahun lalu,
Ndalem Sidoarum,setahun lalu,
EK D,setahun lalu,
heru deni,setahun lalu,Sushi terbaik di kota...👍👍 …
Toples Kacang,setahun lalu,Tempat nya nyaman
Shella Natali,setahun lalu,
Maharani Kusumawardani,setahun lalu,"Selalu puas makan di Sushi Tei karena rasanya tidak perlu diragukan, semuanya fresh. Pelayanannya perfect, termasuk tukang parkirnya yang ramah & sangat membantu. Pertahankan 😍 …"
Ari Susanti,setahun lalu,
Handoko Putro Wicaksono,setahun lalu,
hakiki radhietyawati,setahun lalu,
Tyo Kurniawan,setahun lalu,Resto Jepang yang enak dan enak
martantyo adi kurniawan,setahun lalu,Makanannya enak
Decky Rental,setahun lalu,
karin pinta,setahun lalu,"Pelayanan nya baik, tempatnya bersih dan nyaman kali ini aku nyoba sushi dan takoyakinya enak.  Ak jga pesen tamagoyaki yg ktnya di medsos enak, tpi pas ak coba enggak cocok dilidah ak karna menurut ak manis bgt. Desertnya yg varian macha enak pahit manis gt. Overall yg lain oke👍🏻 …"
sofi fuad,setahun lalu,
Andreas aji,setahun lalu,
Gusri Anef,setahun lalu,sangat mengesankan. elegant.
Syarifah Hanum,setahun lalu,
Farikhah Yuni,setahun lalu,
Rafif Zahran Haryadi,setahun lalu,"sushi yang terkenal se Indonesia,dan untuk makanan dan pelayanan tidak kecewa sama sekali,penyajiannya sangat cantik dan rasa yang unik tiap sajian sushi,tidak kalah saing dengan menu kuah seperti ramen dan udonnya,tapi sangat …"
Kelvin R,setahun lalu,Tempat yang bagus
Iman Ibra,setahun lalu,
Ulia Arbarehan,setahun lalu,
Ardjie Mandey,setahun lalu,Sushi terbaik di kota..
Momster,setahun lalu,Yang layak
Intan Rahayu,setahun lalu,"suka banget si kalo mkan disini pelayananya super duper ramah Dari tukang parkir sampe di servis, suasanya juga nyaman + tentrem bener2 vibe nya Tenang, untuk makananya enak ga bakal nyesel kalo disini"
Paul Hardjono,setahun lalu,
Alaric Evans,setahun lalu,OKE. Oke saja
chistina candra,setahun lalu,Lot parkir kecil jadi harus putar ke samping gedung  buat yg pakai wheelchair agak repot
Tantri Herdianti,setahun lalu,
Raphael Master,setahun lalu,
Muhammad Novryanto,setahun lalu,
Rere Safina,setahun lalu,"Beda ya... Service memuaskan... Pesanan enaak
Suasana pengunjung rame pun tapi tetap menyenangkan
Dari parkir hingga pelayanan di dalam semua ramah …"
indarti drg,setahun lalu,Waww dpt early birthday surprise dari tim sushi tei. Kl menu sih tdk dpt diragukan lg
Windi Yudanto,setahun lalu,Sushi Tei Yogyakarta
Mely Lengkong,setahun lalu,Pilihannya banyak dan rasanya konsisten
feri tegalombo,setahun lalu,
forx2001,setahun lalu,"Tempatnya enak, cocok buat meet. Sekeluarga atau acara kantor."
Dave Kawengian,setahun lalu,Makanan enak dan suasana menyenangkan...
Rifki Furqan,setahun lalu,"Pelayanan cepat, sigap dan ramah. Parkir motor bisa masuk ke dalam portal"
erlangga911,setahun lalu,Best sushi in town. Sushinya bener2 fresh. Ada harga ada kualitas sihh. 大好き!
Fani Salamah,setahun lalu,"kalo soal rasa ngga perlu diragukan lagi ya, jelas enak banget! pelayanannya juga top banget, pegawainya ramah semua"
Aurariarahmiadhani,setahun lalu,"First time, makan disini.. First time juga ☺"
X I X A ID,setahun lalu,
Marcel G,setahun lalu,
Bayu,setahun lalu,
Farikhah Yuni,setahun lalu,
Baiquni Rachmansyah,setahun lalu,Salah satu restoran Sushi terkenal di Indonesia.  Terkadang ada promo all you can eat yang patut banget dicoba.
ALVONSIUS GITA MAHENDRA LUMUNON,setahun lalu,
Nurul Kusmanto,setahun lalu,Segar dan higienis
Anggi Syafita,setahun lalu,
In Tan,setahun lalu,"Tempat nyaman
Makanan enak
Pelayanan oke"
braga cs,setahun lalu,
Salma Alifah,setahun lalu,
Riyan Novita,setahun lalu,
Pascal Wyss,setahun lalu,"Tempat sushi yang sangat bagus, staf sangat ramah"
Axel Nugroho,setahun lalu,"Tempat yang bagus untuk makan sushi, nongkrong, makan malam, mentraktir orang."
Dhea Octaviona,setahun lalu,"menunya variatif bgt sampe bingung mau milih yg mana sangking banyaknya, pelayanannya juga oke, satpamnya ramah pwoll. harganya memang termasuk mehong tp sesuai sama kualitasnya. recommend sih ini"
Alfi Arafah,setahun lalu,
Abijani channel,setahun lalu,
ABBAS,setahun lalu,
lukman arianto,setahun lalu,
dewi mubarok,setahun lalu,"Selalu kembali kesini,mau ke sushi manapun ujung2nya balik lagi kesini,terfavorit,enak semuanya,enak syekale"
Jimmysut 7912,setahun lalu,
Heri Prasetyo,setahun lalu,
Gita Novelia,setahun lalu,"selalu puas sama semua yg ada di sushi tei,sevicenya,makanannya,platting,semuanya ❤❤"
indra furwanda,setahun lalu,Yummyrr
Indah Ones,setahun lalu,Selalu suka sama Salmon belly soup nya
ega norista,setahun lalu,Mantab lah. Sushi dgn porsi nasi banyak 🤭 …
# Mr eddy,setahun lalu,
Irfan Muhammad,setahun lalu,Baru tau salmon skin disini ga ada saus kecap nya hehe
Wirawan Sumartoyo,setahun lalu,
jenindra ismawan,setahun lalu,
Fairly Fairial,setahun lalu,"NO WORDS NEEDED! BEST SUSHI IN TOWN!✨👏🏼. Belum nemu duel yang cocok buat Sushi Tei di Jogja. In my opinion, Sushi Tei paling juara di Jogja. Freshly made, semuanya ok. Segi taste, platting dan ambience nya juga super OK. Apalagi di sini …"
Hendrapuro Hartono,setahun lalu,
Kholiq YK,setahun lalu,Rekomen bagett
Gondo Sepi,setahun lalu,
Jon Ijonk,setahun lalu,Bagus sekali lucu
Djati Yudhaningtyas,setahun lalu,Menu favorit yg selalu dipesan adalah Fuji Roll... Emang rasa setara sama kualitas bahan dan harga 🙈 …
Jimy Prasetya,setahun lalu,
Heriyanto,setahun lalu,"Perfect experience untuk menikmati sajian kuliner Jepang yang pancen enak.

Tempat strategis, parkir memadai, pelayanan prima, dan harga memang premium …"
Yati Suhartini,setahun lalu,mantap...konsiste oishi-nya
Aditya Pratama,setahun lalu,
Imes Azzah,setahun lalu,
Shofia Rahma,setahun lalu,
SUCI Trisna,setahun lalu,Staf ramah... pelayanan oke
Yuliyono S.Pd.Jas.,setahun lalu,
Khitan Homecare,setahun lalu,
must joe,setahun lalu,Ramai pas liburan
Olim Hon,setahun lalu,
daru maya,setahun lalu,pelayanan cepat dan ramah
muhammad zeky rokhmat,setahun lalu,"halo ,mohon di perbaiki untuk pesan nan online , orderan masuk di aplikasi segera di proses ,jangan nunggu driver sampai dulu baru proses, kadang driver posisi jauh dari resto ,jadi bakal tambah lama menunggunya ,"
E Yonatan,setahun lalu,
Adhimukti Tryas,setahun lalu,Untuk yg sukiyaki soup kuahnya kemanisan... Lain dr itu enak semua
Yogi Aji,setahun lalu,
Alfeus Untung WS,setahun lalu,"Tempat favorit para pecinta sushi
Menu komplit
suka acar jae dan ocha"
agustina prihantini,setahun lalu,
Oktadianti Rachmadewi,setahun lalu,
Herlina Widiastuti,setahun lalu,
yuni triuningsih,setahun lalu,
Anggi Mery Pratiwi,setahun lalu,Salmon sashiminya fresh dan tidak amis. Porsi ramennya cukup banyak dan bisa untuk 2 orang. Harga agak pricy tapi worth dengan rasa makanan yang enak dan memuaskan. Pelayan juga ramah dan tempat makan bersih.
Johan Hartono,setahun lalu,
Rilana Kusuma,setahun lalu,
Vicha Vansischa Chrestie,setahun lalu,"Kemanapun selalu jadi tempat makan favorit, ga pernah bosen 😁 selalu ada yg berbeda ditiap tempatnya, disini sashiminya ditaburi wijen, selalu lupa untuk foto, yg dimakan, ga semuanya kefoto …"
Dian Amin Muhtahsin,setahun lalu,
Ahmad Hamid Endarta Putra,setahun lalu,
